a,b,set,protocol,metric,group,n_queries,mean_a,mean_b,delta,ci_low,ci_high,p_value,n_resamples
ft-e5-small-v2,e5-small,test,chunk,ndcg@10,all,728,0.85931,0.80199,0.05732,0.04184,0.07281,0.00000,10000
ft-e5-small-v2,e5-small,test,chunk,ndcg@10,slice=seen,293,0.86537,0.78511,0.08027,0.05560,0.10561,0.00000,10000
ft-e5-small-v2,e5-small,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.78941,0.05796,0.03068,0.08650,0.00020,10000
ft-e5-small-v2,e5-small,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.83741,0.02571,-0.00023,0.05223,0.05200,10000
ft-e5-small-v2,ft-e5-small,test,chunk,ndcg@10,all,728,0.85931,0.84470,0.01461,0.00326,0.02604,0.01240,10000
ft-e5-small-v2,ft-e5-small,test,chunk,ndcg@10,slice=seen,293,0.86537,0.83481,0.03056,0.01252,0.04901,0.00040,10000
ft-e5-small-v2,ft-e5-small,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.84460,0.00277,-0.01741,0.02323,0.77200,10000
ft-e5-small-v2,ft-e5-small,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.85816,0.00496,-0.01511,0.02458,0.62300,10000
ft-e5-small-v2,e5-large,test,chunk,ndcg@10,all,728,0.85931,0.85873,0.00058,-0.01634,0.01715,0.96060,10000
ft-e5-small-v2,e5-large,test,chunk,ndcg@10,slice=seen,293,0.86537,0.86685,-0.00147,-0.02869,0.02618,0.91520,10000
ft-e5-small-v2,e5-large,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.84532,0.00204,-0.02923,0.03258,0.88520,10000
ft-e5-small-v2,e5-large,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.86124,0.00188,-0.02664,0.02993,0.89060,10000
ft-e5-small-v2,FRIDA,test,chunk,ndcg@10,all,728,0.85931,0.87828,-0.01897,-0.03629,-0.00183,0.03100,10000
ft-e5-small-v2,FRIDA,test,chunk,ndcg@10,slice=seen,293,0.86537,0.87346,-0.00808,-0.03470,0.01874,0.56360,10000
ft-e5-small-v2,FRIDA,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.87332,-0.02596,-0.06121,0.00874,0.13940,10000
ft-e5-small-v2,FRIDA,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.88977,-0.02665,-0.05690,0.00404,0.08980,10000
ft-e5-small-v2,e5-small,test,chunk_tkfmt,ndcg@10,all,728,0.86463,0.81037,0.05427,0.03963,0.06944,0.00000,10000
ft-e5-small-v2,e5-small,test,chunk_tkfmt,ndcg@10,slice=seen,293,0.86732,0.78994,0.07738,0.05401,0.10159,0.00000,10000
ft-e5-small-v2,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_articles,218,0.85090,0.80208,0.04882,0.02170,0.07705,0.00060,10000
ft-e5-small-v2,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_codes,217,0.87481,0.84627,0.02854,0.00362,0.05385,0.02520,10000
ft-e5-small-v2,e5-small,tk_hard,chunk,ndcg@10,all,716,0.81977,0.71043,0.10933,0.09124,0.12786,0.00000,10000
ft-e5-small-v2,e5-small,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.70196,0.11442,0.09473,0.13427,0.00000,10000
ft-e5-small-v2,e5-small,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.78617,0.06386,0.01417,0.11502,0.01240,10000
ft-e5-small-v2,ft-e5-small,tk_hard,chunk,ndcg@10,all,716,0.81977,0.79487,0.02490,0.01153,0.03854,0.00020,10000
ft-e5-small-v2,ft-e5-small,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.79132,0.02507,0.01101,0.03935,0.00020,10000
ft-e5-small-v2,ft-e5-small,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.82663,0.02340,-0.01936,0.06747,0.29680,10000
ft-e5-small-v2,e5-large,tk_hard,chunk,ndcg@10,all,716,0.81977,0.82018,-0.00042,-0.01969,0.01830,0.95740,10000
ft-e5-small-v2,e5-large,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.82129,-0.00491,-0.02461,0.01410,0.62720,10000
ft-e5-small-v2,e5-large,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.81026,0.03977,-0.01796,0.09913,0.17960,10000
ft-e5-small-v2,FRIDA,tk_hard,chunk,ndcg@10,all,716,0.81977,0.85416,-0.03439,-0.05506,-0.01478,0.00040,10000
ft-e5-small-v2,FRIDA,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.85388,-0.03750,-0.05856,-0.01649,0.00000,10000
ft-e5-small-v2,FRIDA,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.85662,-0.00660,-0.05603,0.03998,0.79220,10000
ft-e5-small-v2,e5-small,tk_hard,chunk_tkfmt,ndcg@10,all,716,0.82099,0.71687,0.10413,0.08599,0.12307,0.00000,10000
ft-e5-small-v2,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=seen,644,0.81660,0.70874,0.10786,0.08883,0.12824,0.00000,10000
ft-e5-small-v2,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=unseen_articles,72,0.86030,0.78953,0.07076,0.01448,0.12979,0.01300,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,all,716,0.79019,0.71687,0.07333,0.05363,0.09332,0.00000,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=seen,644,0.78675,0.70874,0.07801,0.05741,0.09900,0.00000,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=unseen_articles,72,0.82099,0.78953,0.03145,-0.02599,0.08921,0.27860,10000
