n,qid,category,comment,qtype,slice,rank
0,test-gk-1079,lexical_mismatch,"Бытовое «взял машину у друга, не вписан в страховку» не связано с понятием законного владельца источника повышенной опасности, и модель ушла по слову «страховка» в ст. 637 (страхование ТС при аренде).",everyday,seen,50
1,test-gk-219,neighbor_same_chapter,"Вместо ст. 219 о моменте возникновения права на новую недвижимость модель выдала соседнюю ст. 222 о самовольной постройке из той же главы 14, среагировав на «построил дом без документов».",everyday,unseen_articles,39
2,test-gk-991,lexical_mismatch,"«Отдал товар, чтобы он продал» описывает договор комиссии, но модель не распознала комиссию и выдала статьи о купле-продаже (ст. 484, 486).",everyday,unseen_articles,999
3,test-koap-15.30,lexical_mismatch,"Жаргонное «дёргать цены, чтобы навариться» не связано с термином «манипулирование рынком», и модель выбрала соседнюю по словам «акции» ст. 15.28.",everyday,unseen_articles,36
4,test-zhk-60,neighbor_same_chapter,"Модель выдала ст. 77 о поднайме из той же главы о соцнайме, а на 2–3 местах перепутала соцнайм с наймом жилфонда социального использования (ст. 91.6, где есть «срок»).",search,unseen_articles,14
5,test-gk-135,neighbor_same_chapter,"Вместо ст. 135 о принадлежности модель выдала соседнюю ст. 134 о сложных вещах из той же главы 6, близкую по смыслу, но о другом институте.",everyday,unseen_articles,8
6,test-gk-606,neighbor_same_chapter,"На запрос об определении аренды модель выдала статьи той же главы 34 о форме и регистрации договоров аренды (здания, общая, предприятия), а не общую норму ст. 606.",search,seen,9
7,test-gk-1484,neighbor_same_chapter,"Модель выдала ст. 1483 о запрете регистрации сходных до степени смешения обозначений из той же главы 76, а не ст. 1484 об исключительном праве, на которое опирается защита.",everyday,unseen_articles,6
8,test-gk-88,neighbor_same_chapter,"На «максимум участников ООО» модель выдала ст. 123.5 о числе учредителей общественной организации из той же главы 4, сопоставив «количество участников», но не вид юрлица.",search,seen,6
9,test-gk-183,same_code_other_chapter,"Модель ушла в главу 9 о недействительности сделок (ст. 167), хотя последствия сделки без полномочий регулирует ст. 183 из главы 10 о представительстве.",legal,seen,5
