set,protocol,qid,slice,qtype,code,ndcg@10,recall@5,recall@10,mrr@10
dev,article,dev-gk-1004,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1058,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1069,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1026,seen,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-1093,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1123,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1118,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1137,seen,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-1138,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1150,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1164,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-1165,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1172,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1176,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-12,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1191,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1188,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1216.1,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-123.16-2,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1228,seen,everyday,gk,0.33333,0.00000,1.00000,0.14286
dev,article,dev-gk-123.9,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1232,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-125,seen,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-1240,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1289,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1307,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1303,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-1316,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1355,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1336,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1317,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
