run,dev,test,seen,unseen_articles,unseen_codes
e5-small (base),0.8149,0.8020,,,
e5-base (base),0.8266,0.8218,,,
e1_small_titles_inb,0.8223,0.8035,0.7890,0.7993,0.8271
e1_small_titles_hn,0.8260,0.8038,0.7886,0.8002,0.8281
e1_small_llm_inb,0.8412,0.8471,0.8440,0.8496,0.8488
e1_small_llm_hn,0.8513,0.8447,0.8348,0.8446,0.8582
e1_small_both_inb,0.8446,0.8388,0.8288,0.8345,0.8566
e1_small_both_hn,0.8484,0.8447,0.8393,0.8482,0.8484
e2_base_llm_hn,0.8486,0.8465,0.8435,0.8581,0.8390
e2_base_both_hn,0.8451,0.8515,0.8530,0.8569,0.8439
e4_small_llm_hn_f25,0.8318,0.8114,0.7980,0.8080,0.8330
e4_small_llm_hn_f50,0.8384,0.8350,0.8259,0.8347,0.8475
